股票代码,公司中文全称,公司英文全称,CSRC行业分类,GICS行业分类,公司注册地
24,招商局蛇口控股股份有限公司,"China Merchants Property Development Co.,Ltd.",J01,404030,中国广东省深圳南山区蛇口工业区新时代广场9楼
25,深圳市特力(集团)股份有限公司,"SHENZHEN TELLUS (HOLDINGS) CO., LTD.",M,255010,广东省深圳市罗湖区水贝二路56号特力大厦三楼
26,深圳飞亚达(集团)股份有限公司,"SHENZHEN FIYTA HOLDINGS CO.,LTD.",C78,252030,深圳市南山区高新南一道飞亚达科技大厦
27,深圳能源投资股份有限公司,"SHENZHEN ENERGY INVESTMENT CO.,LTD.",D01,551010,深圳市福田区深南大道4001号时代金融中心24、25楼
28,深圳一致药业股份有限公司,"SHENZHEN ACCORD PHARMACETICAL CO.,LTD",C8,301010,广东省深圳市福田区八卦四路15 号一致药业大厦
29,深圳经济特区房地产(集团)股份有限公司,"SHENZHEN SPECIAL ECONOMIC ZONE REAL ESTATE&PROPERTIES(GROUP)CO.,LTD.",J01,404030,广东省深圳市人民南路深房广场47楼
30,广东盛润集团股份有限公司,"Guangdong Sunrise Holdings Co.,Ltd.",C99,202010,深圳市福田区车公庙泰然工业区203栋4楼东
31,深圳宝恒(集团)股份有限公司,"SHENZHEN BAOHENG (GROUP) CO.,LTD.",J,201050,广东省深圳市宝安区湖滨路5号
32,深圳桑达实业股份有限公司,"SHENZHEN SED INDUSTRY CO.,LTD.",G81,452030,深圳市福田区振华路78号西二层
33,深圳新都酒店股份有限公司,"SHENZHEN CENTURY PLAZA HOTEL CO.,LTD.",K32,253010,广东省深圳市春风路1号
34,深圳市深信泰丰(集团)股份有限公司,"SHENZHEN SHENXIN TAIFENG GROUP CO.,LTD.)",M,452010,广东省深圳市宝安区宝城宝民一路102号
35,中国科健股份有限公司,CHINA KEJIAN CO.LTD.,G81,501020,深圳蛇口工业六路
36,华联控股股份有限公司,China Union Holdings Ltd.,C11,151010,深圳市深南中路2008号华联大厦11层
37,深圳南山热电股份有限公司,SHENZHEN NANSHAN POWER COMPANY LIMITED,D01,551010,广东省深圳市南山区月亮湾大道18号
38,深圳大通实业股份有限公司,"SHENZHEN CAPSTONE INDUSTRIAL CO.,LTD.",G87,452020,广东省深圳市华侨城东部工业区
39,中国国际海运集装箱(集团)股份有限公司,"CHINA INTERNATIONAL MARINE CONTAINERS (GROUP) CO.,LTD.",C69,201060,广东省深圳市蛇口工业区金融中心五楼
40,深圳市鸿基(集团)股份有限公司,"SHENZHEN HONGKAI (GROUP) CO.,LTD.",M,404030,深圳市罗湖区东门中路1011号鸿基大厦25-27楼
